job_id,skill
train-0,communication
train-3,python
train-3,sql
train-3,javascript
train-3,machine learning
train-5,communication
train-10,machine learning
train-12,data analysis
train-13,sql
train-13,machine learning
train-15,python
train-15,java
train-15,javascript
train-16,sql
train-27,excel
train-28,python
train-28,javascript
train-30,machine learning
train-31,java
train-31,javascript
train-40,communication
train-42,docker
train-42,kubernetes
train-42,machine learning
train-43,sql
train-45,javascript
train-46,python
train-46,machine learning
train-48,java
train-48,project management
train-50,git
train-56,sql
train-57,project management
train-62,python
train-62,aws
train-62,azure
train-63,python
train-65,sql
train-65,machine learning
train-66,sql
train-66,data analysis
train-68,sql
train-68,excel
train-69,java
train-73,python
train-73,project management
train-76,communication
train-78,communication
train-79,react
train-80,sql
train-80,machine learning
train-83,project management
train-84,python
train-84,sql
train-84,excel
train-84,data analysis
train-89,java
train-90,sql
train-91,python
train-91,java
train-91,machine learning
train-95,machine learning
train-98,python
train-103,java
train-107,communication
train-108,project management
train-109,java
train-110,project management
train-112,data analysis
train-115,sql
train-121,sql
train-121,excel
train-121,data analysis
train-123,python
train-125,python
train-125,machine learning
train-126,python
train-126,machine learning
train-128,communication
train-133,sql
train-133,excel
train-135,java
train-136,sql
train-136,excel
train-141,project management
train-144,sql
train-144,data analysis
train-150,machine learning
train-152,data analysis
train-155,excel
train-158,project management
train-159,sql
train-164,data analysis
train-165,project management
train-167,communication
train-167,project management
train-172,python
train-172,machine learning
train-173,python
train-173,sql
train-173,excel
train-173,machine learning
train-175,azure
train-175,project management
train-176,tableau
train-183,communication
train-186,python
train-186,sql
train-186,tableau
train-186,machine learning
train-189,excel
train-194,python
train-194,machine learning
train-198,python
train-199,communication
train-199,project management
train-200,machine learning
train-201,project management
train-203,excel
train-203,data analysis
train-221,project management
train-227,sql
train-239,python
train-239,javascript
train-239,django
train-249,project management
train-251,machine learning
train-252,python
train-252,sql
train-252,java
train-257,project management
train-269,sql
train-275,project management
train-277,java
train-277,javascript
train-277,git
train-278,java
train-286,python
train-286,java
train-286,machine learning
train-286,data analysis
train-291,python
train-291,java
train-291,aws
train-291,git
train-296,javascript
train-301,sql
train-302,git
train-304,communication
train-310,communication
train-312,machine learning
train-316,java
train-319,communication
train-322,project management
train-325,python
train-325,sql
train-325,excel
train-325,tableau
train-325,data analysis
train-326,java
train-331,java
train-333,sql
train-336,python
train-336,sql
train-336,azure
train-336,machine learning
train-340,java
train-340,javascript
train-345,python
train-345,machine learning
train-349,java
train-349,javascript
train-349,node.js
train-350,python
train-350,sql
train-350,tableau
train-350,machine learning
train-355,communication
train-363,machine learning
train-367,sql
train-370,excel
train-371,sql
train-371,excel
train-375,excel
train-378,data analysis
train-379,sql
train-381,sql
train-381,power bi
train-386,sql
train-386,azure
train-387,project management
train-388,project management
train-389,excel
train-391,project management
train-392,sql
train-403,project management
train-406,java
train-408,java
train-410,sql
train-413,python
train-413,java
train-413,javascript
train-413,node.js
train-413,docker
train-413,git
train-415,python
train-415,javascript
train-415,docker
train-415,aws
train-415,azure
train-416,excel
train-417,python
train-418,sql
train-422,python
train-422,machine learning
train-422,communication
train-423,sql
train-423,java
train-423,aws
train-424,project management
train-425,python
train-427,python
train-427,data analysis
train-431,communication
train-432,communication
train-434,sql
train-435,java
train-436,python
train-436,sql
train-436,excel
train-436,machine learning
train-438,machine learning
train-442,sql
train-442,excel
train-442,data analysis
train-448,java
train-448,javascript
train-450,aws
train-453,communication
train-461,sql
train-462,python
train-464,sql
train-464,excel
train-464,data analysis
train-466,sql
train-466,java
train-467,python
train-467,sql
train-467,java
train-467,machine learning
train-469,java
train-470,project management
train-471,data analysis
train-472,java
train-478,data analysis
train-481,excel
train-481,tableau
train-482,excel
train-488,java
train-491,machine learning
train-494,communication
train-496,java
train-498,excel
train-503,project management
train-510,python
train-510,java
train-510,machine learning
train-516,communication
train-517,sql
train-518,excel
train-524,sql
train-526,java
train-535,data analysis
train-539,project management
train-540,sql
train-541,java
train-543,python
train-543,power bi
train-544,excel
train-546,java
train-558,sql
train-559,excel
train-566,communication
train-569,javascript
train-569,node.js
train-573,communication
train-575,sql
train-575,tableau
train-576,data analysis
train-576,project management
train-578,sql
train-580,sql
train-584,python
train-584,sql
train-584,java
train-586,aws
train-587,python
train-587,sql
train-589,communication
train-594,communication
train-595,sql
train-596,project management
train-601,data analysis
train-602,python
train-605,communication
train-606,machine learning
train-614,python
train-629,python
train-629,machine learning
train-631,communication
