job_id,title,description,formatted_experience_level,formatted_work_type,location,salary,key_skills,company_name_encoded,source_split
train-0,senior exploit and vulnerability researcher,Exp: Minimum 5 years;Good understanding of IOC rules; Must Have:;Good analytical skills;Good ...,5-7 yrs,,Delhi NCR(Vikas Puri),6to10,"team skills, communication skills, analytical skills, problem solving...",3687,train
train-1,head scm,He should have handled a team of atleast 5-6 direct reportees;mechanical or Diploma (mechanical) with at ...,10-17 yrs,,Sonepat,10to15,"ppc, logistics, inventory management, supply chain management, procurement,...",458,train
train-2,deputy manager - talent management & leadership development - auto,Must be an effective communicator (written & spoken) and strong in inter personal relationship & ...,5-9 yrs,Analytics,Delhi NCR,15to25,"HR Analytics, Employee Engagement, Training, Succession Planning...",4195,train
train-3,associate manager data engineering,7  -  10 years of overall experience in data engineering and Big Data systems;Proficient understanding ...,7-10 yrs,Analytics,Bengaluru,10to15,"SQL, Javascript, Automation, Python, Ruby, Analytics, Machine learning...",313,train
train-4,ts- gsa- senior analyst,Chartered Accountancy degree or MBA in Finance from a premier institute with 1-3 years of experience in ...,1-3 yrs,,Gurgaon,3to6,"accounting, finance, cash flow, financial planning, statutory accounting",1305,train
train-5,senior trainer- academics,4.	Willingness to travel;5.	Experience in Teacher Training is ...,5-10 yrs,,Noida,6to10,"academics, effective communication, teacher training, academic trainer...",4428,train
train-6,associate vice president - fraud analytics - sas - bank,- Experience in managing fraud analytics with knowledge across customer lifecycle is must;- Candidate ...,13-15 yrs,Analytics,Delhi NCR,25to50,"Fraud Analytics, People Management Skills, Team Leading, Problem Solving...",1988,train
train-7,manager - internal audit - ca - big4,Qualified Chartered Accountant with 1-3 yrs of Post qualification ...,6-10 yrs,,Pune,6to10,"Accounting, Internal Audit, Auditing, Enterprise Risk Management, Big4...",1793,train
train-8,payroll executive,Proven experience as payroll executive or specialist;Very good knowledge of legislation and regulations ...,1-3 yrs,,Ahmedabad(Bodakdev),0to3,"esic, hr, bonus, pf, tds, payroll, superannuation, wages, leave...",3398,train
train-9,required ca (manager finance) for r&r salons pvt ltd bangalore,Other activities as may be required over the period of time for smooth functioning of Finance operations ...,2-6 yrs,,Bengaluru(Kodihalli),15to25,"accounting standards, finance, auditing, financial planning...",3444,train
train-10,business analyst,"Manage large volumes of structured and unstructured data, extract & clean data to make it amenable ...",3-7 yrs,,Mohali,6to10,"Test Data, Data Science, Business Analysis, Machine Learning Engineer",3492,train
train-11,senior avp - model development - bank - iim/ mdi/ isb,- Experience in Credit card/ banking domain with knowledge across customer lifecycle is must;- Candidate ...,10-12 yrs,Analytics,"Delhi NCR, Gurgaon",10to15,"Banking, Model Development, Analytics, People Management Skills...",1969,train
train-12,sales and marketing data analyst - data analytics,"3+ years of software development experience;Leverage experience in usage of tools and technologies like, ...",2-6 yrs,Analytics,Pune(Kharadi),10to15,"Marketing Automation, Sales, Salesforce, Eloqua, Data Analysis...",3692,train
train-13,analytics specialist - data science & big data,"- Knowledge of big data concepts and hands-on experience in working with HADOOP and PySpark, including ...",2-4 yrs,Analytics,Mumbai,6to10,"Data Science, Machine Learning, R, Big Data, Predictive Analytics, SQL...",4479,train
train-14,manager / assistant manager- fp &a,"Job Responsibilities:   	Finalization of Annual Budgeting, LRP & Periodic Forecasting ...",1-6 yrs,,Gurgaon,10to15,"Budgeting, Variance Analysis, Forecasting, Capex",2127,train
train-15,nlp & semantic specialist - java/j2ee,- Masters/ MS in computer science or other quantitative discipline is preferred;Please make sure ...,3-6 yrs,,"Gurgaon, Gurugram",10to15,"Spring, Core Java, J2Ee, Hibernate, Javascript, Struts, Python, MySQL...",2914,train
train-16,hadoop developer - rdbms/netezza/oracle,"- 2+ years of hands-on experience with the Hadoop technologies such as Hive, Tez, HBase, and/or other ...",5-8 yrs,,Bengaluru,6to10,"Hadoop, HBase, Digital Marketing, Netezza, Unix, SQL Server, Oracle SQL...",3998,train
train-17,business finance partner,3+ years experience performing financial and ad hoc analysis;3+ years relevant experience in positions ...,3-6 yrs,,Bengaluru,10to15,"Business Finance, Financial Control, Business Rules, analysis...",1548,train
train-18,data scientist - ecommerce,- Work with various stake holders and understand their business requirement;- Software development ...,4-9 yrs,,Bengaluru,15to25,"Information Retrieval, Hadoop, Hive, Spark, Mapreduce, SCALA...",2401,train
train-19,digital marketing role,"Experience in managing and running campaigns on Facebook, Google Adwords, Youtube, and other online ...",3-5 yrs,,Bengaluru,6to10,"Digital Marketing, Google Adwords, marketing, social media management...",4554,train
train-20,"business analyst - gurgaon, hr","Design, code, test, debug, and record those programs proficient to work at top technical level of every ...",1-5 yrs,,Gurgaon,6to10,"Business Analyst - Gurgaon, HR",3113,train
train-21,"cyber risk - chennai location - privacy, data protection, gdpr, eu dpr",Experience setting up privacy frameworks incorporating requirements of relevant data protection and ...,8-12 yrs,,Chennai,25to50,"Business Continuity, Data Privacy, ISMS, Information Security...",1178,train
train-22,avp/senior avp - sas analytics - consulting firm - iim/iit,Strong Leadership and mentoring skills with minimum 6+ years of team leadership and client management ...,10-12 yrs,Analytics,Bengaluru,10to15,"project implementation, client management, sas analytics, analytics, SAS...",1969,train
train-23,"analyst, ar",Ensure all data required for centralized dunning;Work experience in Finance and/or Accounting;Minimum 3 ...,3-5 yrs,,Pune,0to3,"AR, reconciliations, Finance, Accounting, working capital management, SAP",2650,train
train-24,"immediately required software tester in it park,chandigarh","- Analyses the data gathered from performance tests with an eye towards application performance, ...",1-4 yrs,,Chandigarh,0to3,"manual testing, test scripts, performance testing, jmeter, software testing...",4681,train
train-25,project manager - investment research - bfsi,"- Should be very good in team handling - must exhibit excellent leadership qualities, team mentoring and ...",10-20 yrs,,Mumbai,25to50,"Sales, Equity Research, Investment Research, Investment Banking, DCF...",4298,train
train-27,financial business analyst (third party payroll),Accurately & timely preparation of Standard MIS on Weekly & Monthly basis  Responding ...,3-5 yrs,,Gurgaon,0to3,"finance, mis, business analysis, Excel, Macros",3063,train
train-28,ixo iot applications,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,1-3 yrs,Analytics,Bengaluru,3to6,"Analytics, Javascript, SCADA, Outsourcing, Python, Operations...",190,train
train-29,opportunity for junior manager / assistant manager - actuarial,1.	2-3 years of experience in Life Insurance or reinsurance company;3.	Experience in ReNova preferred ...,2-5 yrs,,"Mumbai, Mumbai Suburbs",15to25,"Life Insurance, Actuarial, Actuarial Analyst, actuary, Regression Testing...",2012,train
train-30,manager /lead - machine learning/ analytics,- Masters or MS or PhD degree in related technical field;- Experience distilling and presenting complex ...,6-11 yrs,Analytics,Bengaluru,10to15,"Machine Learning, Analytics, Natural Language Processing...",3319,train
train-31,technical leader,3.	Good people skills - ability to lead and manage team output effectively;1.	Between 4-8 years of total ...,4-8 yrs,,Pune,15to25,"Javascript, Core Java, Spring Mvc, JSP, J2Ee, MySQL, JDBC, Maven...",4064,train
train-32,functional test planning,a: Must have knowledge in functional test script design;Accenture Technology powers our clients ...,2-5 yrs,,Bengaluru,3to6,"Selenium, Business process, Outsourcing, Analytical, Operations...",190,train
train-33,assistant manager - actuarial - bfsi,- Experience of preparing and documenting simple computer programmes and models to clearly defined ...,3-4 yrs,,Mumbai,10to15,"Finance, Insurance, Financial Services, Data Manipulation, Actuarial...",1616,train
train-34,big data engineer (spark) - gurgaon/ noida,7+ years of experience in IT highly technical environment;Strong foundational knowledge and experience ...,7-10 yrs,,"Gurgaon, Noida",10to15,"spark, big data, hadoop",2993,train
train-35,looking for immediate joiner for hubspot & digital marketing profile,- Must have experience of minimum 2-3 years working in Hubspot marketing platform;- Should have user ...,2-7 yrs,analytics,"Delhi NCR, Delhi",6to10,"digital marketing, web marketing, content marketing, google analytics...",2679,train
train-36,medical image processing engineer - dsp/matlab/opencv,"- Experience in implementing image analysis algorithms;- Educational Qualification: Doctorate, Masters ...",5-8 yrs,,Bengaluru,6to10,"matlab, opencv, image processing, dsp, electrical engineering, intellectual...",853,train
train-38,head - online marketing - media- premier institutes,"- We are looking for 5-7 years of hands-on experience in an internet company, with a track record of ...",4-9 yrs,analytics,Delhi NCR,10to15,"Head - Online Marketing, Online Marketing, acquisition, SEO, analytics, SMS...",4298,train
